age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
27,0,1,8.16,2,7,2,2,0.33,0,0,21.0,1,5.62,409,0
24,0,2,6.35,3,2,2,2,4.99,0,0,11.0,1,9.66,237,2
33,0,2,7.78,0,2,4,2,0.93,0,0,15.0,1,8.12,435,2
31,1,2,6.92,2,1,4,1,0.37,0,0,11.5,1,7.19,340,0
28,1,1,8.24,3,0,1,2,0.33,0,0,5.0,0,4.09,371,1
33,0,1,7.24,1,5,1,1,2.87,2,0,15.5,1,4.09,345,2
25,0,1,6.96,1,4,5,0,2.83,0,0,18.0,0,3.41,571,2
27,1,2,7.09,2,3,1,1,0.11,1,0,10.5,0,9.06,443,0
30,0,2,7.02,1,4,1,1,0.44,0,1,11.5,1,7.21,414,0
23,0,1,7.4,0,3,2,5,1.13,0,0,17.5,1,7.96,455,2
27,0,1,5.8,3,3,3,3,0.37,1,0,17.5,1,3.14,386,2
31,0,1,8.16,1,4,2,1,0.49,0,2,13.5,0,9.79,321,0
31,0,0,6.51,2,2,3,0,2.39,0,0,10.0,1,8.83,431,0
28,0,2,8.07,2,3,5,1,0.56,0,0,17.5,0,4.49,294,0
25,1,0,7.28,0,2,5,3,0.58,2,0,20.5,0,4.27,499,1
24,0,2,6.11,1,5,3,0,6.23,1,1,17.0,1,4.28,499,0
28,1,2,6.19,0,1,4,0,1.7,0,0,10.0,1,5.13,297,2
28,0,1,8.0,1,4,3,2,0.07,0,0,17.0,1,6.67,308,1
23,0,1,6.82,2,5,4,0,1.71,1,0,19.0,1,6.02,386,1
26,0,1,7.93,2,1,3,2,0.67,1,0,12.0,1,5.04,633,2
25,0,0,7.68,2,3,4,0,0.17,1,1,15.0,1,7.28,443,0
22,2,1,5.94,0,2,1,0,4.48,1,1,7.0,1,3.98,505,0
28,1,1,7.99,6,5,4,0,0.37,0,0,18.0,0,5.05,163,2
32,0,2,6.93,1,2,3,1,1.13,1,0,12.5,1,5.56,340,2
34,0,0,8.58,2,3,2,1,3.39,0,1,11.5,0,6.19,477,1
26,1,0,8.07,1,7,5,2,0.88,2,0,29.0,1,8.5,607,0
22,0,0,5.09,3,2,2,2,0.58,0,1,11.0,0,4.4,614,0
32,0,1,6.32,2,4,1,2,0.52,0,0,13.0,1,6.6,496,0
25,0,1,7.95,1,3,4,0,3.77,0,0,14.0,1,7.15,635,2
21,1,0,6.54,2,7,1,1,0.12,0,0,17.5,1,3.33,685,0
32,0,2,8.47,2,2,4,1,0.94,0,0,13.5,0,7.25,436,0
30,1,1,8.41,1,3,1,0,4.59,0,0,8.0,1,4.19,539,1
26,1,2,6.45,0,3,2,0,1.56,1,0,11.0,1,3.46,290,2
33,1,1,8.09,3,1,2,0,1.78,1,1,7.0,0,9.64,635,0
32,1,2,7.25,3,3,3,2,1.21,0,0,15.0,1,9.76,556,2
29,2,1,8.12,2,3,2,0,0.33,0,0,10.0,1,8.66,535,0
21,1,0,7.71,0,3,4,1,0.12,0,0,15.5,1,5.13,449,2
31,0,0,7.42,1,4,4,2,1.57,2,0,21.0,1,3.68,577,2
31,0,1,6.76,1,3,5,0,0.71,0,0,16.0,1,7.79,569,2
30,0,1,6.44,1,1,4,0,1.37,0,0,10.0,1,6.08,338,2
32,0,1,7.69,2,6,4,0,1.49,0,0,20.0,1,3.85,474,2
32,0,2,7.09,1,6,1,1,0.19,1,0,16.5,0,6.47,499,0
34,0,2,7.48,2,4,4,1,0.07,0,0,17.5,1,3.24,413,1
34,0,2,7.27,0,2,2,0,0.97,0,0,8.0,0,9.37,599,0
34,0,0,7.99,4,4,4,2,1.73,1,0,20.0,1,4.81,684,2
23,1,1,7.25,4,4,1,1,1.89,0,0,11.5,0,7.64,595,1
32,1,1,6.25,2,3,1,2,0.19,0,0,11.0,1,5.18,339,0
27,0,0,8.22,0,1,1,3,0.67,0,0,8.5,0,6.64,455,2
24,0,1,8.67,0,5,3,0,2.03,0,2,16.0,1,6.83,386,0
29,0,1,5.58,3,3,1,2,2.23,0,0,11.0,1,4.29,403,2
23,0,0,6.18,4,1,3,0,0.24,2,0,10.0,1,9.79,398,0
25,0,0,7.15,3,2,5,0,0.22,0,0,14.0,0,8.43,582,2
23,2,1,8.12,2,8,2,0,1.23,0,0,20.0,1,9.58,336,1
27,0,1,7.1,2,2,4,1,0.48,0,0,13.5,1,9.26,364,2
25,1,1,6.55,0,3,5,0,0.23,0,0,16.0,1,7.19,472,0
29,1,0,6.83,2,4,4,2,0.78,0,0,19.0,1,9.45,676,1
27,1,0,7.44,0,3,2,2,2.65,0,0,13.0,1,3.62,626,2
22,0,0,8.36,4,0,4,0,0.31,0,0,8.0,1,4.37,513,1
24,0,1,6.86,2,3,5,1,0.82,0,0,17.5,0,3.32,347,1
29,0,1,7.59,0,1,3,1,0.48,1,0,10.5,0,5.28,501,2
32,1,0,8.05,0,3,3,3,0.26,0,0,16.5,1,5.72,573,1
34,1,0,8.14,2,5,5,2,0.26,0,0,23.0,1,4.9,610,1
22,1,0,7.5,2,4,5,2,0.68,0,0,21.0,0,8.8,616,2
30,0,0,8.07,1,1,2,1,2.48,1,0,8.5,1,5.5,625,2
29,1,0,8.5,2,6,4,1,0.59,1,0,22.5,1,4.97,557,0
30,2,1,9.25,2,1,4,0,0.11,2,0,12.0,0,6.8,510,2
25,1,0,9.33,4,5,5,1,1.31,1,0,22.5,1,3.99,531,0
22,0,2,8.05,5,2,4,1,0.43,1,0,14.5,1,8.62,634,1
24,0,1,7.4,3,6,3,1,4.89,1,0,20.5,1,3.52,532,1
32,0,0,7.1,2,5,1,0,0.11,0,0,12.0,1,9.91,362,2
32,0,1,7.18,0,4,2,1,0.64,0,0,13.5,1,8.41,547,0
27,0,0,7.3,0,2,4,1,0.29,0,0,13.5,1,4.39,314,1
32,0,1,8.0,3,5,1,1,0.19,0,0,13.5,0,3.04,453,0
33,0,0,6.89,1,2,1,0,0.46,0,0,6.0,0,8.71,315,0
28,0,1,7.25,3,2,4,0,0.85,1,1,13.0,1,7.95,586,0
23,2,0,6.67,0,6,5,0,2.61,0,1,22.0,1,8.1,507,0
34,0,2,8.91,3,4,1,0,0.13,0,0,10.0,1,8.4,561,1
21,0,2,6.68,2,4,5,0,2.92,2,0,20.0,1,3.52,523,2
24,1,1,7.8,1,5,3,1,0.24,0,0,17.5,0,5.51,408,0
22,1,0,7.91,3,5,3,1,0.06,1,0,18.5,0,3.81,517,0
28,0,1,7.65,0,4,2,1,1.37,1,0,14.5,1,9.04,471,2
24,2,2,7.66,1,4,5,3,2.74,1,0,23.5,1,7.36,477,1
22,0,1,7.05,4,4,3,1,2.83,1,0,16.5,0,5.32,501,0
34,1,1,8.64,2,2,3,1,0.13,2,0,13.5,1,3.44,437,0
26,1,2,6.99,0,5,2,1,0.87,0,0,15.5,0,5.18,416,2
26,1,2,7.31,1,2,5,0,0.54,0,0,14.0,1,5.28,385,2
30,0,2,7.46,1,4,4,0,0.58,1,0,17.0,1,8.11,503,2
24,1,0,8.46,1,1,4,1,1.33,1,0,12.5,1,7.46,389,0
26,0,1,6.18,1,5,2,0,0.02,0,0,14.0,0,9.21,512,2
33,0,0,6.63,1,3,5,2,0.79,1,0,20.0,1,6.31,534,2
22,0,2,8.16,3,1,2,1,5.4,2,0,9.5,0,3.84,704,1
30,0,2,7.85,3,0,4,2,0.88,3,0,14.0,1,7.99,541,0
32,1,1,7.44,0,5,3,2,1.55,1,0,20.0,1,8.33,266,0
22,1,2,7.6,1,6,5,0,5.84,0,0,22.0,1,6.93,510,1
30,0,2,7.61,3,2,1,0,1.88,0,0,6.0,0,8.4,590,1
34,0,1,8.66,0,5,1,1,0.95,1,0,14.5,1,6.46,398,0
24,1,1,8.28,2,7,3,2,1.08,0,0,23.0,1,6.66,556,0
34,0,0,7.52,3,3,5,2,1.94,0,0,19.0,1,5.99,508,1
28,0,0,6.36,3,4,5,1,0.32,0,0,19.5,1,3.18,613,2
34,1,1,6.96,1,2,4,0,3.04,2,0,14.0,1,3.76,522,1
27,0,1,8.21,0,1,1,0,2.97,1,1,5.0,0,3.22,456,1
32,0,1,8.51,1,1,2,0,0.41,0,0,6.0,1,7.45,473,0
29,0,0,6.76,0,2,3,2,1.16,2,0,15.0,0,5.2,470,2
