target,features,model,accuracy,f1_macro,f1_weighted
category,BOW,MultinomialNB,0.9930978481526593,0.9939278795182612,0.9931010013188218
category,BOW,LogisticRegression,0.9939098660170523,0.9939901640911526,0.9939138649822177
category,BOW,LinearSVC,0.9935038570848559,0.9935447004727216,0.9935119793436034
category,TFIDF,MultinomialNB,0.9926918392204629,0.9932610505342493,0.9926950792931046
category,TFIDF,LogisticRegression,0.9935038570848559,0.993950576797296,0.9935106011132888
category,TFIDF,LinearSVC,0.9959399106780349,0.9962702508336316,0.9959425908192373
intent,BOW,MultinomialNB,0.9825416159155501,0.9822631797367382,0.9825274844946649
intent,BOW,LogisticRegression,0.9837596427121397,0.982731853820612,0.9837866151661137
intent,BOW,LinearSVC,0.9874137231019082,0.9865761683989442,0.9874783262444997
intent,TFIDF,MultinomialNB,0.9813235891189607,0.9810791350895777,0.9813003521518187
intent,TFIDF,LogisticRegression,0.9870077141697118,0.9864237689021849,0.9870115913343465
intent,TFIDF,LinearSVC,0.9898497766950873,0.9893395553652816,0.9898652765305386
